id,category_id/name,title
soc_18470435,annonceur,
soc_18470441,annonceur,
soc_18470442,annonceur,
soc_18470443,agence,
soc_18470446,annonceur,
soc_18470447,annonceur,
soc_18470448,agence,
soc_18470451,annonceur,
soc_18470453,annonceur,
soc_18470454,agence,
soc_18470456,agence,
soc_18470457,agence,
soc_18470458,agence,
soc_18470459,organisation/association,
soc_18470460,agence,
soc_18470461,annonceur,
soc_18470464,agence,
soc_18470465,agence,
soc_18470468,annonceur,
soc_18470470,agence,
soc_18470474,annonceur,
soc_18470475,annonceur,
soc_18470481,annonceur,
soc_18470482,annonceur,
soc_18470484,agence,
soc_18470497,agence,
soc_18470498,annonceur,
soc_18470502,annonceur,
soc_18470503,consultant,
soc_18470514,annonceur,
soc_18470517,individuel,
soc_18470518,annonceur,
soc_18470519,annonceur,
soc_18470520,annonceur,
soc_18470525,annonceur,
soc_18759873,,
soc_18759916,annonceur,
soc_18880538,,
soc_19343059,,
soc_19403172,,
soc_19612315,,
soc_19649606,,
soc_19717073,annonceur,
soc_19746976,,
soc_19799048,,
soc_19949808,,
soc_20078726,,
soc_20078729,,
soc_21502071,agence,
soc_21822861,,
soc_22086599,,
soc_22329473,,
soc_22568075,,
soc_22792665,,
soc_22819845,,
soc_22844663,,
soc_22849383,,
soc_23178711,,
soc_23213389,annonceur,
soc_23435017,,
soc_24003399,,
soc_24595163,,
soc_24822683,,
soc_25618675,,
soc_25774947,,
soc_25940939,agence,
soc_26194081,,
soc_26266629,,
soc_26319437,,
soc_26350823,,
soc_26438471,,
soc_26529711,,
soc_26815625,,
soc_27187378,,
soc_27449742,,
soc_27826986,,
soc_27856586,"individuel,individuel",
soc_28098954,,
soc_28104634,,
soc_28544430,,
soc_28640612,,
soc_28650136,,
soc_29382376,,
soc_29393788,,
soc_29499638,,
soc_29713346,,
soc_31010378,,
soc_31010380,,
soc_32751340,,
soc_32835804,,
soc_32990938,,
soc_33013268,,
soc_33813352,,
soc_34098822,,
soc_34296920,,
soc_34921984,,
soc_35156148,,
soc_35246842,,
soc_36469212,,
soc_36798568,france travail,
soc_36813342,annonceur,
soc_36836386,annonceur,
soc_37751636,,
soc_38411940,,
soc_38845746,annonceur,
soc_38937058,"individuel,individuel",
soc_39770210,,
soc_39786126,,
soc_40275370,,
soc_40373736,annonceur,
soc_40376138,"france travail,individuel",Madame
soc_40478392,,
soc_40817716,,
soc_41083816,,
soc_41541252,,
soc_41558580,,
soc_41608828,,
soc_41690476,,
soc_41690486,,
soc_41714206,"france travail,individuel",
soc_41736686,annonceur,
soc_41882614,,
soc_41902324,,
soc_41975946,,
soc_42053962,,
soc_42054168,,
soc_42510530,,
soc_43301712,,
soc_44074004,,
soc_44565410,annonceur,
soc_44565492,annonceur,
soc_44666990,"individuel,individuel",
soc_45182668,,
soc_45567324,,
soc_45787484,,
soc_46228426,,
soc_46300286,annonceur,
soc_46355426,,
soc_46744230,annonceur,
soc_47005028,"france travail,individuel",Madame
soc_47329712,individuel,
soc_47445846,,
soc_47881102,annonceur,
soc_47885784,,
soc_47906828,,
soc_48469730,annonceur,
soc_48692116,organisation/association,
soc_18470449,annonceur,
soc_18470397,annonceur,
soc_18470200,annonceur,
soc_18470198,annonceur,
